"Date","Instagram Profile","Followers","Net Follower Growth","Followers Gained","Followers Lost","Following","Net Following Growth","Published Posts & Stories","Impressions","Reach","Engagements","Likes","Comments","Saves","Story Replies","Profile Actions","Engagement Rate (per Impression)"
"06-30-2021","ucberkeleysummer","1,462","1","1","0","113","0","0","69","3","0","0","0","0","0","0","0%"
"06-30-2021","ucbstudyabroad","2,244","2","2","0","223","0","0","123","90","17","16","0","1","0","1","13.82%"
"07-01-2021","ucberkeleysummer","1,463","1","1","0","113","0","1","151","132","2","2","0","0","0","1","1.32%"
"07-01-2021","ucbstudyabroad","2,245","1","2","1","223","0","1","433","271","12","12","0","0","0","0","2.77%"
"07-02-2021","ucberkeleysummer","1,466","3","3","0","113","0","0","43","42","1","1","0","0","0","0","2.33%"
"07-02-2021","ucbstudyabroad","2,241","-4","1","5","223","0","0","81","61","4","4","0","0","0","0","4.94%"
"07-03-2021","ucberkeleysummer","1,466","0","0","0","113","0","0","13","10","0","0","0","0","0","0","0%"
"07-03-2021","ucbstudyabroad","2,241","0","2","2","223","0","0","69","21","2","2","0","0","0","0","2.9%"
"07-04-2021","ucberkeleysummer","1,466","0","0","0","113","0","0","57","11","0","0","0","0","0","0","0%"
"07-04-2021","ucbstudyabroad","2,241","0","0","0","223","0","0","4","4","0","0","0","0","0","0","0%"
"07-05-2021","ucberkeleysummer","1,466","0","0","0","113","0","0","23","2","0","0","0","0","0","0","0%"
"07-05-2021","ucbstudyabroad","2,241","0","1","1","223","0","0","18","5","0","0","0","0","0","0","0%"
"07-06-2021","ucberkeleysummer","1,463","-3","0","3","113","0","1","261","225","10","9","1","0","0","0","3.83%"
"07-06-2021","ucbstudyabroad","2,238","-3","0","3","223","0","1","310","232","0","0","0","0","0","1","0%"
"07-07-2021","ucberkeleysummer","1,458","-5","1","6","113","0","0","59","58","5","4","1","0","0","1","8.47%"
"07-07-2021","ucbstudyabroad","2,237","-1","1","2","223","0","0","85","76","17","17","0","0","0","0","20%"
"07-08-2021","ucberkeleysummer","1,458","0","0","0","113","0","0","13","9","0","0","0","0","0","0","0%"
"07-08-2021","ucbstudyabroad","2,238","1","3","2","223","0","0","76","32","6","6","0","0","0","0","7.89%"
"07-09-2021","ucberkeleysummer","1,457","-1","1","2","113","0","2","357","198","6","5","0","1","0","0","1.68%"
"07-09-2021","ucbstudyabroad","2,239","1","2","1","223","0","1","310","250","7","7","0","0","0","0","2.26%"
"07-10-2021","ucberkeleysummer","1,456","-1","2","3","113","0","0","118","67","5","5","0","0","0","0","4.24%"
"07-10-2021","ucbstudyabroad","2,238","-1","2","3","223","0","0","58","47","3","3","0","0","0","0","5.17%"
"07-11-2021","ucberkeleysummer","1,459","3","4","1","113","0","0","72","33","4","4","0","0","0","0","5.56%"
"07-11-2021","ucbstudyabroad","2,241","3","3","0","223","0","0","49","14","2","2","0","0","0","0","4.08%"
"07-12-2021","ucberkeleysummer","1,462","3","3","0","113","0","0","17","7","0","0","0","0","0","0","0%"
"07-12-2021","ucbstudyabroad","2,243","2","2","0","223","0","1","371","290","14","14","0","0","0","0","3.77%"
"07-13-2021","ucberkeleysummer","1,462","0","0","0","113","0","0","24","6","0","0","0","0","0","1","0%"
"07-13-2021","ucbstudyabroad","2,245","2","2","0","223","0","0","89","56","1","1","0","0","0","0","1.12%"
"07-14-2021","ucberkeleysummer","1,462","0","2","2","113","0","0","38","2","0","0","0","0","0","0","0%"
"07-14-2021","ucbstudyabroad","2,246","1","2","1","223","0","0","25","19","0","0","0","0","0","0","0%"
"07-15-2021","ucberkeleysummer","1,463","1","1","0","113","0","1","196","173","8","7","0","1","0","0","4.08%"
"07-15-2021","ucbstudyabroad","2,247","1","2","1","223","0","1","430","372","14","14","0","0","0","0","3.26%"
"07-16-2021","ucberkeleysummer","1,463","0","1","1","113","0","0","67","53","1","1","0","0","0","0","1.49%"
"07-16-2021","ucbstudyabroad","2,248","1","4","3","223","0","0","84","54","2","2","0","0","0","0","2.38%"
"07-17-2021","ucberkeleysummer","1,464","1","1","0","113","0","0","25","14","1","1","0","0","0","0","4%"
"07-17-2021","ucbstudyabroad","2,251","3","3","0","223","0","0","47","19","0","0","0","0","0","0","0%"
"07-18-2021","ucberkeleysummer","1,464","0","0","0","113","0","0","2","2","0","0","0","0","0","0","0%"
"07-18-2021","ucbstudyabroad","2,249","-2","0","2","223","0","0","12","7","0","0","0","0","0","0","0%"
"07-19-2021","ucberkeleysummer","1,463","-1","0","1","113","0","0","135","5","0","0","0","0","0","0","0%"
"07-19-2021","ucbstudyabroad","2,248","-1","0","1","223","0","0","43","7","1","1","0","0","0","0","2.33%"
"07-20-2021","ucberkeleysummer","1,463","0","0","0","113","0","0","3","2","0","0","0","0","0","0","0%"
"07-20-2021","ucbstudyabroad","2,248","0","1","1","223","0","1","387","349","0","0","0","0","0","0","0%"
"07-21-2021","ucberkeleysummer","1,461","-2","3","5","113","0","0","5","3","1","0","0","1","0","0","20%"
"07-21-2021","ucbstudyabroad","2,251","3","3","0","223","0","0","173","159","34","34","0","0","0","0","19.65%"
"07-22-2021","ucberkeleysummer","1,461","0","1","1","113","0","0","11","4","0","0","0","0","0","0","0%"
"07-22-2021","ucbstudyabroad","2,251","0","1","1","222","-1","0","53","34","3","2","0","1","0","0","5.66%"
"07-23-2021","ucberkeleysummer","1,461","0","0","0","113","0","0","1","1","0","0","0","0","0","0","0%"
"07-23-2021","ucbstudyabroad","2,249","-2","0","2","222","0","1","214","187","0","0","0","0","0","0","0%"
"07-24-2021","ucberkeleysummer","1,461","0","0","0","113","0","0","27","3","0","0","0","0","0","0","0%"
"07-24-2021","ucbstudyabroad","2,249","0","0","0","221","-1","0","189","156","11","11","0","0","0","0","5.82%"
"07-25-2021","ucberkeleysummer","1,460","-1","1","2","112","-1","0","0","0","0","0","0","0","0","0",""
"07-25-2021","ucbstudyabroad","2,249","0","1","1","220","-1","0","78","36","4","4","0","0","0","1","5.13%"
"07-26-2021","ucberkeleysummer","1,458","-2","1","3","112","0","1","170","138","4","4","0","0","0","0","2.35%"
"07-26-2021","ucbstudyabroad","2,249","0","0","0","223","3","0","14","10","3","2","1","0","0","0","21.43%"
"07-27-2021","ucberkeleysummer","1,459","1","2","1","112","0","0","42","30","2","2","0","0","0","0","4.76%"
"07-27-2021","ucbstudyabroad","2,251","2","2","0","223","0","0","61","13","0","0","0","0","0","0","0%"
"07-28-2021","ucberkeleysummer","1,459","0","2","2","112","0","0","16","11","2","2","0","0","0","0","12.5%"
"07-28-2021","ucbstudyabroad","2,253","2","4","2","223","0","0","150","14","3","3","0","0","0","0","2%"
"07-29-2021","ucberkeleysummer","1,462","3","3","0","112","0","1","169","154","11","11","0","0","0","0","6.51%"
"07-29-2021","ucbstudyabroad","2,253","0","1","1","223","0","0","30","9","0","0","0","0","0","3","0%"
"07-30-2021","ucberkeleysummer","1,462","0","0","0","112","0","1","175","131","6","3","0","3","0","0","3.43%"
"07-30-2021","ucbstudyabroad","2,254","1","3","2","223","0","0","124","11","0","0","0","0","0","0","0%"
"07-31-2021","ucberkeleysummer","1,464","2","2","0","112","0","0","60","49","4","4","0","0","0","0","6.67%"
"07-31-2021","ucbstudyabroad","2,259","5","6","1","223","0","0","64","6","0","0","0","0","0","1","0%"
"08-01-2021","ucberkeleysummer","1,464","0","0","0","112","0","0","37","19","2","2","0","0","0","0","5.41%"
"08-01-2021","ucbstudyabroad","2,261","2","2","0","223","0","0","34","4","0","0","0","0","0","0","0%"
"08-02-2021","ucberkeleysummer","1,464","0","1","1","112","0","0","81","3","1","0","0","1","0","0","1.23%"
"08-02-2021","ucbstudyabroad","2,262","1","2","1","223","0","0","56","7","0","0","0","0","0","0","0%"
"08-03-2021","ucberkeleysummer","1,463","-1","2","3","112","0","0","1","1","0","0","0","0","0","0","0%"
"08-03-2021","ucbstudyabroad","2,262","0","0","0","223","0","0","9","3","0","0","0","0","0","0","0%"
"08-04-2021","ucberkeleysummer","1,465","2","2","0","112","0","0","19","2","0","0","0","0","0","0","0%"
"08-04-2021","ucbstudyabroad","2,263","1","3","2","223","0","0","25","5","0","0","0","0","0","0","0%"
"08-05-2021","ucberkeleysummer","1,466","1","1","0","112","0","0","5","2","0","0","0","0","0","0","0%"
"08-05-2021","ucbstudyabroad","2,264","1","1","0","223","0","0","22","3","0","0","0","0","0","0","0%"
"08-06-2021","ucberkeleysummer","1,466","0","0","0","112","0","0","6","1","0","0","0","0","0","0","0%"
"08-06-2021","ucbstudyabroad","2,265","1","1","0","223","0","0","37","5","0","0","0","0","0","0","0%"
"08-07-2021","ucberkeleysummer","1,466","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"08-07-2021","ucbstudyabroad","2,265","0","0","0","223","0","0","17","4","0","0","0","0","0","0","0%"
"08-08-2021","ucberkeleysummer","1,463","-3","0","3","112","0","0","1","1","0","0","0","0","0","0","0%"
"08-08-2021","ucbstudyabroad","2,265","0","1","1","221","-2","0","4","3","0","0","0","0","0","0","0%"
"08-09-2021","ucberkeleysummer","1,461","-2","0","2","112","0","0","0","0","0","0","0","0","0","0",""
"08-09-2021","ucbstudyabroad","2,263","-2","2","4","221","0","0","8","1","0","0","0","0","0","0","0%"
"08-10-2021","ucberkeleysummer","1,461","0","0","0","112","0","0","1","1","0","0","0","0","0","0","0%"
"08-10-2021","ucbstudyabroad","2,263","0","1","1","222","1","0","117","9","0","0","0","0","0","0","0%"
"08-11-2021","ucberkeleysummer","1,461","0","0","0","112","0","0","3","3","0","0","0","0","0","0","0%"
"08-11-2021","ucbstudyabroad","2,265","2","3","1","222","0","0","104","8","0","0","0","0","0","1","0%"
"08-12-2021","ucberkeleysummer","1,461","0","2","2","112","0","0","34","2","0","0","0","0","0","1","0%"
"08-12-2021","ucbstudyabroad","2,271","6","6","0","222","0","0","146","8","0","0","0","0","0","5","0%"
"08-13-2021","ucberkeleysummer","1,460","-1","1","2","111","-1","1","369","329","11","11","0","0","0","0","2.98%"
"08-13-2021","ucbstudyabroad","2,272","1","1","0","222","0","0","27","3","0","0","0","0","0","1","0%"
"08-14-2021","ucberkeleysummer","1,458","-2","2","4","111","0","0","156","137","30","27","0","3","0","0","19.23%"
"08-14-2021","ucbstudyabroad","2,274","2","2","0","222","0","0","9","4","0","0","0","0","0","0","0%"
"08-15-2021","ucberkeleysummer","1,461","3","6","3","111","0","0","65","27","2","2","0","0","0","0","3.08%"
"08-15-2021","ucbstudyabroad","2,274","0","0","0","222","0","0","27","3","0","0","0","0","0","0","0%"
"08-16-2021","ucberkeleysummer","1,462","1","1","0","111","0","0","8","6","11","11","0","0","0","0","137.5%"
"08-16-2021","ucbstudyabroad","2,276","2","2","0","222","0","0","29","3","0","0","0","0","0","0","0%"
"08-17-2021","ucberkeleysummer","1,463","1","1","0","112","1","0","35","5","0","0","0","0","0","0","0%"
"08-17-2021","ucbstudyabroad","2,279","3","3","0","222","0","1","319","277","0","0","0","0","0","0","0%"
"08-18-2021","ucberkeleysummer","1,464","1","1","0","112","0","0","25","4","0","0","0","0","0","0","0%"
"08-18-2021","ucbstudyabroad","2,280","1","4","3","222","0","0","142","127","19","18","0","1","0","0","13.38%"
"08-19-2021","ucberkeleysummer","1,463","-1","1","2","112","0","0","2","2","0","0","0","0","0","0","0%"
"08-19-2021","ucbstudyabroad","2,282","2","4","2","222","0","1","380","294","2","2","0","0","0","0","0.53%"
"08-20-2021","ucberkeleysummer","1,467","4","7","3","112","0","0","19","5","0","0","0","0","0","0","0%"
"08-20-2021","ucbstudyabroad","2,294","12","13","1","222","0","0","199","67","21","21","0","0","0","0","10.55%"
"08-21-2021","ucberkeleysummer","1,468","1","1","0","112","0","0","9","2","1","0","0","1","0","0","11.11%"
"08-21-2021","ucbstudyabroad","2,297","3","3","0","223","1","0","17","16","6","6","0","0","0","0","35.29%"
"08-22-2021","ucberkeleysummer","1,471","3","3","0","112","0","0","10","1","1","1","0","0","0","0","10%"
"08-22-2021","ucbstudyabroad","2,299","2","5","3","223","0","0","64","15","0","0","0","0","0","1","0%"
"08-23-2021","ucberkeleysummer","1,471","0","0","0","112","0","0","4","4","0","0","0","0","0","0","0%"
"08-23-2021","ucbstudyabroad","2,304","5","5","0","223","0","2","974","572","49","48","1","0","0","1","5.03%"
"08-24-2021","ucberkeleysummer","1,471","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"08-24-2021","ucbstudyabroad","2,305","1","1","0","223","0","0","277","224","26","25","0","1","0","0","9.39%"
"08-25-2021","ucberkeleysummer","1,471","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"08-25-2021","ucbstudyabroad","2,311","6","7","1","223","0","0","56","32","1","1","0","0","0","0","1.79%"
"08-26-2021","ucberkeleysummer","1,472","1","1","0","112","0","0","3","1","0","0","0","0","0","0","0%"
"08-26-2021","ucbstudyabroad","2,313","2","2","0","223","0","1","394","248","14","14","0","0","0","3","3.55%"
"08-27-2021","ucberkeleysummer","1,474","2","5","3","112","0","0","5","1","0","0","0","0","0","0","0%"
"08-27-2021","ucbstudyabroad","2,314","1","2","1","223","0","0","121","56","5","5","0","0","0","0","4.13%"
"08-28-2021","ucberkeleysummer","1,475","1","1","0","112","0","0","24","1","0","0","0","0","0","0","0%"
"08-28-2021","ucbstudyabroad","2,313","-1","2","3","223","0","0","22","14","0","0","0","0","0","1","0%"
"08-29-2021","ucberkeleysummer","1,475","0","0","0","112","0","0","8","2","0","0","0","0","0","0","0%"
"08-29-2021","ucbstudyabroad","2,312","-1","1","2","223","0","0","23","12","0","0","0","0","0","1","0%"
"08-30-2021","ucberkeleysummer","1,476","1","1","0","112","0","0","7","1","0","0","0","0","0","0","0%"
"08-30-2021","ucbstudyabroad","2,315","3","5","2","223","0","0","37","5","0","0","0","0","0","2","0%"
"08-31-2021","ucberkeleysummer","1,477","1","1","0","112","0","0","13","5","1","0","0","1","0","0","7.69%"
"08-31-2021","ucbstudyabroad","2,318","3","3","0","223","0","1","277","218","0","0","0","0","0","1","0%"
"09-01-2021","ucberkeleysummer","1,477","0","1","1","112","0","0","0","0","0","0","0","0","0","0",""
"09-01-2021","ucbstudyabroad","2,323","5","6","1","223","0","0","119","64","16","16","0","0","0","0","13.45%"
"09-02-2021","ucberkeleysummer","1,478","1","1","0","112","0","0","0","0","0","0","0","0","0","0",""
"09-02-2021","ucbstudyabroad","2,323","0","6","6","223","0","1","505","391","30","29","0","1","0","1","5.94%"
"09-03-2021","ucberkeleysummer","1,478","0","1","1","112","0","0","0","0","0","0","0","0","0","0",""
"09-03-2021","ucbstudyabroad","2,325","2","2","0","223","0","0","93","59","1","1","0","0","0","0","1.08%"
"09-04-2021","ucberkeleysummer","1,478","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"09-04-2021","ucbstudyabroad","2,327","2","2","0","223","0","0","21","16","0","0","0","0","0","0","0%"
"09-05-2021","ucberkeleysummer","1,478","0","1","1","112","0","0","0","0","0","0","0","0","0","0",""
"09-05-2021","ucbstudyabroad","2,327","0","2","2","223","0","0","40","6","0","0","0","0","0","0","0%"
"09-06-2021","ucberkeleysummer","1,477","-1","0","1","112","0","0","0","0","0","0","0","0","0","0",""
"09-06-2021","ucbstudyabroad","2,327","0","0","0","223","0","0","29","11","0","0","0","0","0","0","0%"
"09-07-2021","ucberkeleysummer","1,475","-2","1","3","112","0","0","6","1","0","0","0","0","0","0","0%"
"09-07-2021","ucbstudyabroad","2,327","0","2","2","223","0","0","11","5","0","0","0","0","0","1","0%"
"09-08-2021","ucberkeleysummer","1,474","-1","0","1","112","0","0","0","0","0","0","0","0","0","0",""
"09-08-2021","ucbstudyabroad","2,327","0","1","1","223","0","0","1,708","1,657","0","0","0","0","0","0","0%"
"09-09-2021","ucberkeleysummer","1,473","-1","0","1","112","0","0","81","77","0","0","0","0","0","0","0%"
"09-09-2021","ucbstudyabroad","2,323","-4","2","6","223","0","1","502","310","21","21","0","0","0","3","4.18%"
"09-10-2021","ucberkeleysummer","1,468","-5","0","5","112","0","0","25","25","0","0","0","0","0","0","0%"
"09-10-2021","ucbstudyabroad","2,325","2","2","0","223","0","2","923","539","54","43","0","11","0","4","5.85%"
"09-11-2021","ucberkeleysummer","1,467","-1","0","1","112","0","0","0","0","0","0","0","0","0","0",""
"09-11-2021","ucbstudyabroad","2,326","1","1","0","224","1","0","197","171","16","12","0","4","0","1","8.12%"
"09-12-2021","ucberkeleysummer","1,466","-1","1","2","112","0","0","0","0","0","0","0","0","0","0",""
"09-12-2021","ucbstudyabroad","2,328","2","2","0","224","0","0","52","43","6","6","0","0","0","0","11.54%"
"09-13-2021","ucberkeleysummer","1,466","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"09-13-2021","ucbstudyabroad","2,333","5","6","1","224","0","1","690","565","55","39","0","16","0","13","7.97%"
"09-14-2021","ucberkeleysummer","1,463","-3","0","3","112","0","0","6","2","0","0","0","0","0","0","0%"
"09-14-2021","ucbstudyabroad","2,334","1","2","1","224","0","1","526","187","11","10","0","1","0","1","2.09%"
"09-15-2021","ucberkeleysummer","1,458","0","0","","","","0","23","1","0","0","0","0","0","0","0%"
"09-15-2021","ucbstudyabroad","2,335","1","2","1","224","0","1","616","288","3","2","0","1","0","0","0.49%"
"09-16-2021","ucberkeleysummer","1,460","2","2","0","112","","0","3","1","0","0","0","0","0","0","0%"
"09-16-2021","ucbstudyabroad","2,336","1","3","2","224","0","0","83","64","13","13","0","0","0","0","15.66%"
"09-17-2021","ucberkeleysummer","1,461","1","1","0","112","0","0","1","1","0","0","0","0","0","0","0%"
"09-17-2021","ucbstudyabroad","2,338","2","6","4","224","0","1","339","259","4","4","0","0","0","4","1.18%"
"09-18-2021","ucberkeleysummer","1,461","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"09-18-2021","ucbstudyabroad","2,340","2","2","0","224","0","0","102","57","22","22","0","0","0","0","21.57%"
"09-19-2021","ucberkeleysummer","1,460","-1","1","2","112","0","0","0","0","0","0","0","0","0","0",""
"09-19-2021","ucbstudyabroad","2,339","-1","1","2","224","0","0","34","23","4","4","0","0","0","0","11.76%"
"09-20-2021","ucberkeleysummer","1,460","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"09-20-2021","ucbstudyabroad","2,339","0","1","1","224","0","1","435","352","25","20","0","5","0","1","5.75%"
"09-21-2021","ucberkeleysummer","1,460","0","0","0","112","0","0","3","1","0","0","0","0","0","0","0%"
"09-21-2021","ucbstudyabroad","2,342","3","4","1","224","0","1","552","333","7","5","0","2","0","3","1.27%"
"09-22-2021","ucberkeleysummer","1,461","1","3","2","112","0","0","0","0","0","0","0","0","0","0",""
"09-22-2021","ucbstudyabroad","2,341","-1","4","5","224","0","0","243","200","4","2","0","2","0","4","1.65%"
"09-23-2021","ucberkeleysummer","1,461","0","0","0","112","0","0","0","0","0","0","0","0","0","0",""
"09-23-2021","ucbstudyabroad","2,347","6","6","0","224","0","1","646","444","18","15","2","1","0","6","2.79%"
"09-24-2021","ucberkeleysummer","1,462","1","2","1","112","0","0","7","1","0","0","0","0","0","1","0%"
"09-24-2021","ucbstudyabroad","2,352","5","5","0","224","0","0","148","76","21","19","0","2","0","1","14.19%"
"09-25-2021","ucberkeleysummer","1,462","0","1","1","112","0","0","0","0","0","0","0","0","0","0",""
"09-25-2021","ucbstudyabroad","2,354","2","2","0","224","0","0","81","27","6","5","1","0","0","0","7.41%"
"09-26-2021","ucberkeleysummer","1,463","1","1","0","112","0","0","4","1","0","0","0","0","0","0","0%"
"09-26-2021","ucbstudyabroad","2,353","-1","1","2","224","0","0","43","10","0","0","0","0","0","0","0%"
"09-27-2021","ucberkeleysummer","1,463","0","1","1","112","0","0","6","2","0","0","0","0","0","2","0%"
"09-27-2021","ucbstudyabroad","2,372","19","24","5","224","0","1","798","407","0","0","0","0","0","9","0%"
"09-28-2021","ucberkeleysummer","1,462","-1","0","1","112","0","0","0","0","0","0","0","0","0","0",""
"09-28-2021","ucbstudyabroad","2,387","15","20","5","224","0","2","999","430","21","12","0","9","0","7","2.1%"
"09-29-2021","ucberkeleysummer","1,463","1","1","0","112","0","0","18","2","0","0","0","0","0","0","0%"
